X,gene.id,symbol,entrez_id,chr,start,end,middle,strand
94,497837,Slc19a3,,,,,,
95,497838,Flt1,,,,,,
96,497842,St6galnac4,,,,,,
97,497847,Siglece,,,,,,
98,497848,Olfr749,,,,,,
99,497849,Prelid3b,,,,,,
100,497860,Apopt1,,,,,,
101,497861,4930557B06Rik,,,,,,
102,497862,Gm42977,,,,,,
103,497867,Tmem215,,,,,,
104,497869,Cel,,,,,,
105,497871,1700081B01Rik,,,,,,
106,497872,Zdhhc21,,,,,,
107,497875,Pitpnc1,,,,,,
108,497878,Gm26553,,,,,,
109,497880,Shpk,,,,,,
110,497881,Pnn,,,,,,
111,497882,Ankzf1,,,,,,
112,497883,Psat1,,,,,,
113,497887,Emc9,,,,,,
114,497888,Sema3a,,,,,,
115,497895,Sec61b,,,,,,
116,497902,Nrxn1,,,,,,
117,497903,Cemip,,,,,,
118,497906,Arl14,,,,,,
119,497911,Ogfod2,,,,,,
120,497915,Synpo2,,,,,,
121,497918,Erbb4,,,,,,
122,497919,Spink2,,,,,,
123,497921,Stx12,,,,,,
124,497923,Mmp11,,,,,,
125,497924,4930538L07Rik,,,,,,
126,497926,Pls3,,,,,,
127,497927,Lhfp,,,,,,
128,497928,Cutal,,,,,,
129,497929,Agtpbp1,,,,,,
130,497931,4930404H24Rik,,,,,,
131,497933,Shd,,,,,,
132,497935,Septin9,,,,,,
133,497946,Dcaf7,,,,,,
134,497947,Prr7,,,,,,
135,497950,9530002B09Rik,,,,,,
136,497951,Ear1,,,,,,
137,497955,Phf11a,,,,,,
138,497956,Asgr2,,,,,,
139,497959,Cd38,,,,,,
140,497960,Fbxo6,,,,,,
141,497961,Pakap,,,,,,
142,497963,Kitl,,,,,,
143,497968,Castor1,,,,,,
144,497969,Mcph1,,,,,,
145,497972,Atf4,,,,,,
146,497973,Snapc1,,,,,,
147,497975,Sos1,,,,,,
148,497980,Gm4032,,,,,,
149,497984,Kbtbd2,,,,,,
150,497986,Fmn1,,,,,,
151,497987,Slc22a21,,,,,,
152,497989,Rab27a,,,,,,
153,497990,Rnf186,,,,,,
154,497992,Bad,,,,,,
155,497994,Nos1,,,,,,
156,497997,B4galnt1,,,,,,
157,497998,Aanat,,,,,,
158,497999,Hmox1,,,,,,
159,498002,Diaph2,,,,,,
160,498003,Tnfrsf11a,,,,,,
161,498007,Rdh10,,,,,,
162,498008,Ano6,,,,,,
163,498011,4930551I23Rik,,,,,,
164,498014,Bard1,,,,,,
165,498016,Ncoa6,,,,,,
166,498019,Rnf217,,,,,,
167,498022,Gsto2,,,,,,
168,498025,Mtx2,,,,,,
169,498027,Taf10,,,,,,
170,498028,Abi1,,,,,,
171,498029,Map10,,,,,,
172,498030,Spry4,,,,,,
173,498033,Serpini1,,,,,,
174,498034,Sgca,,,,,,
175,498035,Tnfsf10,,,,,,
176,498036,Pnma1,,,,,,
177,498037,Sfrp1,,,,,,
178,498038,1700037C06Rik,,,,,,
179,498041,Insm1,,,,,,
180,498043,Tsfm,,,,,,
181,498052,Crat,,,,,,
182,498053,Sobp,,,,,,
183,498055,Dexi,,,,,,
184,498057,Asrgl1,,,,,,
185,498059,Vars2,,,,,,
186,498060,Sfmbt1,,,,,,
187,498061,9530003J23Rik,,,,,,
188,498065,Med27,,,,,,
189,498068,Kcnk1,,,,,,
190,498071,Bcl9,,,,,,
191,498073,Atp5d,,,,,,
192,498078,1110008P14Rik,,,,,,
193,498081,Psmd14,,,,,,
194,498085,Gm10232,,,,,,
195,498086,Tst,,,,,,
196,498096,Scin,,,,,,
197,498098,5430402P08Rik,,,,,,
198,498099,Gramd1b,,,,,,
199,498103,Lypla2,,,,,,
200,498104,Ezr,,,,,,
201,498109,9230112D13Rik,,,,,,
202,498110,Grik3,,,,,,
203,498113,1810013L24Rik,,,,,,
204,498115,Zfp871,,,,,,
205,498117,Wnt4,,,,,,
206,498121,Flrt3,,,,,,
207,498122,Ttc7,,,,,,
208,498123,Ttc28,,,,,,
209,498128,Tmem100,,,,,,
210,498129,Scn8a,,,,,,
211,498130,Adgrg6,,,,,,
212,498131,C1ql1,,,,,,
213,498133,Dlst,,,,,,
214,498137,Mlf2,,,,,,
215,498140,Gm21992,,,,,,
216,498143,Nln,,,,,,
217,498145,Synpo2l,,,,,,
218,498146,Tfip11,,,,,,
219,498148,Prmt2,,,,,,
220,498149,Hdlbp,,,,,,
221,498150,Anapc10,,,,,,
222,498152,Hsph1,,,,,,
223,498153,Mettl1,,,,,,
224,498154,Scn10a,,,,,,
225,498155,Dnaja4,,,,,,
226,498156,Chd2,,,,,,
227,498158,Rsph1,,,,,,
228,498159,Cited1,,,,,,
229,498160,1700016A09Rik,,,,,,
230,498163,Htr5b,,,,,,
231,498167,1700030C12Rik,,,,,,
232,498168,Isl2,,,,,,
233,498169,Il20,,,,,,
234,498170,4930592I03Rik,,,,,,
235,498171,Itga7,,,,,,
236,498173,Dnajc1,,,,,,
237,498176,Gm15806,,,,,,
238,498182,Asz1,,,,,,
239,498185,Cyb5r2,,,,,,
240,498189,Cebpz,,,,,,
241,498191,Gm45455,,,,,,
242,498193,N4bp2os,,,,,,
243,498194,Il5ra,,,,,,
244,498198,1700110I07Rik,,,,,,
245,498199,Rbp4,,,,,,
246,498201,Ptpn2,,,,,,
247,498204,1700041I07Rik,,,,,,
248,498205,4931407E12Rik,,,,,,
249,498206,Smim14,,,,,,
250,498208,Zfp281,,,,,,
251,498210,Ebag9,,,,,,
252,498211,Nos2,,,,,,
253,498213,Tmem179b,,,,,,
254,498214,Klf9,,,,,,
255,498215,Gm47577,,,,,,
256,498218,Ak1,,,,,,
257,498220,Gng10,,,,,,
258,498221,Ank3,,,,,,
259,498222,Morc4,,,,,,
260,498223,Cad,,,,,,
261,498225,Abracl,,,,,,
262,498229,Tuft1,,,,,,
263,498234,Pf4,,,,,,
264,498235,Gm15016,,,,,,
265,498236,Fbxw2,,,,,,
266,498237,Sgsh,,,,,,
267,498238,Trnp1,,,,,,
268,498241,Itprid2,,,,,,
269,498242,Gm5521,,,,,,
270,498243,2310044K18Rik,,,,,,
271,498244,Klk1b16,,,,,,
272,498245,Fam133b,,,,,,
273,498253,Taf7l,,,,,,
274,498255,Stpg1,,,,,,
275,498257,Tln1,,,,,,
276,498258,Polr3gl,,,,,,
277,498259,4930592A05Rik,,,,,,
278,498260,Acbd7,,,,,,
279,498263,Mir99ahg,,,,,,
280,498265,Tceal1,,,,,,
281,498267,Atf1,,,,,,
282,498268,Birc2,,,,,,
283,498269,4930403P22Rik,,,,,,
284,498271,Klk1b4,,,,,,
285,498273,Zbed3,,,,,,
286,498281,Gm43726,,,,,,
287,498282,Kif4-ps,,,,,,
288,498287,Vipas39,,,,,,
289,498288,Lingo4,,,,,,
290,498291,Cts8,,,,,,
291,498293,Sall4,,,,,,
292,498297,Gm14300,,,,,,
293,498298,Camk1d,,,,,,
294,498300,Rufy3,,,,,,
295,498301,C8b,,,,,,
296,498306,Wdr66,,,,,,
297,498313,Pabpc1l,,,,,,
298,498314,Mrm2,,,,,,
299,498316,P2ry10,,,,,,
300,498317,Trmt10a,,,,,,
301,498318,Ush2a,,,,,,
302,498324,Iws1,,,,,,
303,498325,Prnp,,,,,,
304,498326,4933411E02Rik,,,,,,
305,498327,Ugdh,,,,,,
306,498328,Grpr,,,,,,
307,498332,8430422H06Rik,,,,,,
308,498335,Slc1a4,,,,,,
309,498336,Spo11,,,,,,
310,498338,Tmsb15a,,,,,,
311,498340,Gabpb2,,,,,,
312,498342,Chuk,,,,,,
313,498344,Epha2,,,,,,
314,498347,Crebzf,,,,,,
315,498348,Rap1b,,,,,,
316,498349,Tpd52,,,,,,
317,498350,4930471C04Rik,,,,,,
318,498353,Zbtb25,,,,,,
319,498354,Rarres2,,,,,,
320,498357,Tpi1,,,,,,
321,498359,Uchl1os,,,,,,
322,498364,Snai1,,,,,,
323,498365,Rnf220,,,,,,
324,498366,4930540I17Rik,,,,,,
325,498367,Stn1,,,,,,
326,498369,Rwdd3,,,,,,
327,498370,Smndc1,,,,,,
328,498373,Ska2,,,,,,
329,498376,Ninj1,,,,,,
330,498377,1700048O20Rik,,,,,,
331,498378,Samm50,,,,,,
332,498380,Try4,,,,,,
333,498382,Krtap9-3,,,,,,
334,498383,Dnase2b,,,,,,
335,498388,1110015O18Rik,,,,,,
336,498389,D930020B18Rik,,,,,,
337,498393,C1qtnf6,,,,,,
338,498394,3110006O06Rik,,,,,,
339,498395,Bcat2,,,,,,
340,498396,Cct3,,,,,,
341,498401,Ring1,,,,,,
342,498403,Ankef1,,,,,,
343,498404,Slc5a4a,,,,,,
344,498406,Phf6,,,,,,
345,498407,1700119H24Rik,,,,,,
346,498409,4930579F01Rik,,,,,,
347,498410,Gpx7,,,,,,
348,498411,Egr3,,,,,,
349,498413,Rpl11,,,,,,
350,498417,Mgst3,,,,,,
351,498419,Mboat2,,,,,,
352,498421,Mnt,,,,,,
353,498424,Ugt2b37,,,,,,
354,498426,Mbnl2,,,,,,
355,498428,Dtx2,,,,,,
356,498429,Ubqln2,,,,,,
357,498431,1700022A21Rik,,,,,,
358,498432,Gzma,,,,,,
359,498433,Ptpru,,,,,,
360,498436,4921524J17Rik,,,,,,
361,498440,Tnfrsf19,,,,,,
362,498441,Xk,,,,,,
363,498442,Dctn2,,,,,,
364,498443,Rybp,,,,,,
365,498444,Gzmm,,,,,,
366,498446,Ptp4a2,,,,,,
367,498456,Nampt,,,,,,
368,498457,Plce1,,,,,,
369,498460,Sult1c1,,,,,,
370,498464,Zfp644,,,,,,
371,498474,H2-Aa,,,,,,
372,498476,Cfl1,,,,,,
373,498477,Zbtb43,,,,,,
374,498478,Acoxl,,,,,,
375,498479,Lypd3,,,,,,
376,498482,Gm12240,,,,,,
377,498484,Mtus2,,,,,,
378,498490,Gpr87,,,,,,
379,498493,Ccdc34os,,,,,,
380,498496,Fgfr1op,,,,,,
381,498499,Rab32,,,,,,
382,498504,Grb14,,,,,,
383,498506,Rnase1,,,,,,
384,498509,Galnt10,,,,,,
385,498510,2310075C17Rik,,,,,,
386,498511,Sbf1,,,,,,
387,498512,Efnb1,,,,,,
388,498513,Traf1,,,,,,
389,498517,Gm5096,,,,,,
390,498518,Snx21,,,,,,
391,498519,Bcan,,,,,,
392,498524,4930459L07Rik,,,,,,
393,498528,Adprhl1,,,,,,
394,498531,Rgs8,,,,,,
395,498537,Igkv12-41,,,,,,
396,498539,Swi5,,,,,,
397,498543,Btbd10,,,,,,
398,498545,Klhl33,,,,,,
399,498549,Rras,,,,,,
400,498552,Aldh1a1,,,,,,
401,498553,4930579M01Rik,,,,,,
402,498554,Slc22a15,,,,,,
403,498560,Mkrn1,,,,,,
404,498561,Sdf4,,,,,,
405,498566,Twist2,,,,,,
406,498567,Cog6,,,,,,
407,498569,Krtap20-2,,,,,,
408,498572,Skil,,,,,,
409,498574,Susd3,,,,,,
410,498575,Foxf1,,,,,,
411,498583,Gm6145,,,,,,
412,498584,Serp1,,,,,,
413,498586,Gyg,,,,,,
414,498587,Mapkbp1,,,,,,
415,498589,Plekha6,,,,,,
416,498593,Insl6,,,,,,
417,498594,4930515L19Rik,,,,,,
418,498596,Cckbr,,,,,,
419,498597,1810007D17Rik,,,,,,
420,498598,Mapkap1,,,,,,
421,498599,Ffar2,,,,,,
422,498601,Npas3,,,,,,
423,498602,Opn3,,,,,,
424,498603,Mier2,,,,,,
425,498607,Hilpda,,,,,,
426,498614,Klc2,,,,,,
427,498615,Ntpcr,,,,,,
428,498621,Smtn,,,,,,
429,498625,4933424M12Rik,,,,,,
430,498626,Whrn,,,,,,
431,498628,Dnajb2,,,,,,
432,498629,Fcgr1,,,,,,
433,498632,Tnfrsf8,,,,,,
434,498636,Mrap,,,,,,
435,498637,Tcf7l2,,,,,,
436,498638,9230111E07Rik,,,,,,
437,498639,Ube2d2b,,,,,,
438,498640,Tff3,,,,,,
439,498642,Htr1f,,,,,,
440,498645,Tmem68,,,,,,
441,498647,Mfsd2a,,,,,,
442,498648,Ndufs2,,,,,,
443,498650,Gm11149,,,,,,
444,498653,Zfp507,,,,,,
445,498655,Lrfn1,,,,,,
446,498657,Cmpk2,,,,,,
447,498661,Foxp1,,,,,,
448,498662,Golim4,,,,,,
449,498663,Ndufv2,,,,,,
450,498668,Prpf40b,,,,,,
451,498670,Prl6a1,,,,,,
452,498673,Cyb5b,,,,,,
453,498675,Bmp8b,,,,,,
454,498680,E130120K24Rik,,,,,,
455,498681,Pcdh10,,,,,,
456,498684,Dync1i1,,,,,,
457,498685,Scd2,,,,,,
458,498686,Fam90a1b,,,,,,
459,498687,Tac2,,,,,,
460,498689,Rlbp1,,,,,,
461,498692,Coro1a,,,,,,
462,498694,4933402J10Rik,,,,,,
463,498695,Smad7,,,,,,
464,498698,Map3k8,,,,,,
465,498699,Meaf6,,,,,,
466,498701,Irf7,,,,,,
467,498702,1700104L18Rik,,,,,,
468,498705,Zrsr2,,,,,,
469,498707,Ttyh2,,,,,,
470,498708,Tex47,,,,,,
471,498709,4930456G14Rik,,,,,,
472,498710,Gm6475,,,,,,
473,498712,Dnpep,,,,,,
474,498714,Sh3rf1,,,,,,
475,498715,Gm26760,,,,,,
476,498716,Ctdspl,,,,,,
477,498719,Grpel1,,,,,,
478,498721,1700065L07Rik,,,,,,
479,498723,2900041M22Rik,,,,,,
480,498735,Srsf2,,,,,,
481,498736,Tanc2,,,,,,
482,498738,4930458K08Rik,,,,,,
483,498741,Rasgrp1,,,,,,
484,498744,A330102I10Rik,,,,,,
485,498746,Gm29459,,,,,,
486,498752,Lancl2,,,,,,
487,498756,Asap1,,,,,,
488,498757,Exoc3l2,,,,,,
489,498759,Fam13b,,,,,,
490,498760,Rbm6,,,,,,
491,498762,Ttc5,,,,,,
492,498763,Sem1,,,,,,
493,498765,Zranb3,,,,,,
494,498767,Igsf6,,,,,,
495,498771,2810429I04Rik,,,,,,
496,498773,9130024F11Rik,,,,,,
497,498776,Gm11836,,,,,,
498,498777,Rps6ka1,,,,,,
499,498778,Ier5,,,,,,
500,498779,Magi3,,,,,,
501,498781,Eif4ebp2,,,,,,
502,498783,Gm6644,,,,,,
503,498784,Lrba,,,,,,
504,498785,Smad2,,,,,,
505,498791,Gm10722,,,,,,
506,498796,Rad51b,,,,,,
507,498798,1700042O10Rik,,,,,,
508,498800,5430402O13Rik,,,,,,
509,498802,Slc38a9,,,,,,
510,498804,Tpst2,,,,,,
511,498806,4930444E06Rik,,,,,,
512,498808,Idua,,,,,,
513,498809,Krtap14,,,,,,
514,498810,Atp6v0a2,,,,,,
515,498811,5430425E15Rik,,,,,,
516,498815,Gm20420,,,,,,
517,498818,Cyb561a3,,,,,,
518,498820,Ube2l3,,,,,,
519,498822,Prxl2c,,,,,,
520,498824,Clip1,,,,,,
521,498825,Cenpk,,,,,,
522,498826,Ywhab,,,,,,
523,498829,Nme4,,,,,,
524,498833,Olfr71,,,,,,
525,498836,Pitpnc1,,,,,,
526,498839,Slc35a4,,,,,,
527,498841,Fam187b,,,,,,
528,498842,Klhl35,,,,,,
529,498843,Fgd3,,,,,,
530,498844,Myh4,,,,,,
531,498850,4930540E01Rik,,,,,,
532,498851,Olfr1379-ps1,,,,,,
533,498852,Racgap1,,,,,,
534,498853,Tomm5,,,,,,
535,498855,Eps15,,,,,,
536,498857,Ltbp2,,,,,,
537,498858,Fam49a,,,,,,
538,498860,Olah,,,,,,
539,498861,Scyl1,,,,,,
540,498862,Cops4,,,,,,
541,498864,Gpbp1l1,,,,,,
542,498867,Ppa1,,,,,,
543,498868,Tgm1,,,,,,
544,498873,Mrpl12,,,,,,
545,498875,Aldh1a1,,,,,,
546,498876,Zfp830,,,,,,
547,498878,Gm8599,,,,,,
548,498879,Nol4,,,,,,
549,498881,Foxp2,,,,,,
550,498892,Zfp36,,,,,,
551,498897,Smim1,,,,,,
552,498898,Zfp81,,,,,,
553,498901,Piwil1,,,,,,
554,498902,Cxcl12,,,,,,
555,498907,Gm28376,,,,,,
556,498909,Gsdma,,,,,,
557,498910,1700011L22Rik,,,,,,
558,498912,Psd3,,,,,,
559,498913,Fbxo25,,,,,,
560,498915,Thap7,,,,,,
561,498919,Chrnd,,,,,,
562,498920,Arpp21,,,,,,
563,498923,Col27a1,,,,,,
564,498927,Saa-ps,,,,,,
565,498928,Met,,,,,,
566,498929,Ctcf,,,,,,
567,498930,Pecr,,,,,,
568,498933,Creb3l4,,,,,,
569,498940,Far1,,,,,,
570,498941,1810012K16Rik,,,,,,
571,498944,Krtap17-1,,,,,,
572,498945,Aqp11,,,,,,
573,498947,Klk1b21,,,,,,
574,498951,Serpinf2,,,,,,
575,498953,Dlc1,,,,,,
576,498957,Ankrd45,,,,,,
577,498964,Zfp57,,,,,,
578,498968,Pnliprp1,,,,,,
579,498970,Ublcp1,,,,,,
580,498971,H2-DMa,,,,,,
581,498974,Gm18916,,,,,,
582,498976,Cbr3,,,,,,
583,498978,Thbd,,,,,,
584,498979,Gm5844,,,,,,
585,498980,Gmcl1,,,,,,
586,498984,Aadac,,,,,,
587,498986,Pla2g2c,,,,,,
588,498987,Gclm,,,,,,
589,498990,Vrk2,,,,,,
590,498991,Ms4a4d,,,,,,
591,498992,Coq6,,,,,,
592,498994,Jagn1,,,,,,
593,498995,Zdhhc20,,,,,,
594,498996,Ap4e1,,,,,,
595,499004,4930544L04Rik,,,,,,
596,499005,Trip6,,,,,,
597,499006,Atl3,,,,,,
598,499009,Prnd,,,,,,
599,499011,Trhde,,,,,,
600,499014,9130604C24Rik,,,,,,
601,499017,Syt1,,,,,,
602,499020,Cntn6,,,,,,
603,499022,Bod1l,,,,,,
604,499023,Gm20543,,,,,,
605,499026,Smpd4,,,,,,
606,499027,Ccdc103,,,,,,
607,499028,Ubtf,,,,,,
608,499029,Plk1,,,,,,
609,499035,Usf2,,,,,,
610,499039,Mtbp,,,,,,
611,499041,Ctif,,,,,,
612,499043,Stag2,,,,,,
613,499044,Esrra,,,,,,
614,499046,Sparcl1,,,,,,
615,499058,Mex3b,,,,,,
616,499063,Atp9b,,,,,,
617,499065,Gm16984,,,,,,
618,499067,4932702P03Rik,,,,,,
619,499068,Rflnb,,,,,,
620,499069,Ptdss2,,,,,,
621,499071,Spdye4a,,,,,,
622,499075,Etv5,,,,,,
623,499077,Prr9,,,,,,
624,499082,Plaur,,,,,,
625,499084,Ubr1,,,,,,
626,499089,Ofd1,,,,,,
627,499093,Ndrg1,,,,,,
628,499094,Acvr1,,,,,,
629,499096,4930429H19Rik,,,,,,
630,499109,Osbpl9,,,,,,
631,499110,Cfhr1,,,,,,
632,499114,Gatd3a,,,,,,
633,499115,Car15,,,,,,
634,499116,Ctnnb1,,,,,,
635,499119,Dsc1,,,,,,
636,499121,2810455O05Rik,,,,,,
637,499124,Mxd3,,,,,,
638,499130,Orc3,,,,,,
639,499131,Arl13a,,,,,,
640,499136,Klk1b8,,,,,,
641,499138,Chrna7,,,,,,
642,499139,Zkscan14,,,,,,
643,499140,Atg16l2,,,,,,
644,499142,Mapk6,,,,,,
645,499143,Iigp1,,,,,,
646,499147,Col16a1,,,,,,
647,499148,Ifrd1,,,,,,
648,499149,Gmfg,,,,,,
649,499150,Brms1l,,,,,,
650,499152,Hmx3,,,,,,
651,499154,Itm2c,,,,,,
652,499155,Oga,,,,,,
653,499159,Ighg2c,,,,,,
654,499161,Fam13c,,,,,,
655,499162,Zfp235,,,,,,
656,499164,Exosc5,,,,,,
657,499165,Atm,,,,,,
658,499168,Polr3g,,,,,,
659,499171,Hint2,,,,,,
660,499173,Zcchc9,,,,,,
661,499174,Mier1,,,,,,
662,499175,Haspin,,,,,,
663,499176,Zfp326,,,,,,
664,499181,Cldn4,,,,,,
665,499182,Tspan18,,,,,,
666,499183,Gm16029,,,,,,
667,499185,Ptprc,,,,,,
668,499191,Btbd35f11,,,,,,
669,499192,Cyp2d10,,,,,,
670,499196,Chek2,,,,,,
671,499202,Galntl6,,,,,,
672,499203,4930568G15Rik,,,,,,
673,499205,Scg5,,,,,,
674,499206,Popdc2,,,,,,
675,499207,Pcolce,,,,,,
676,499208,1700047G03Rik,,,,,,
677,499212,Nisch,,,,,,
678,499214,Slc16a7,,,,,,
679,499221,Cd5l,,,,,,
680,499222,Ctnna1,,,,,,
681,499228,Cyp2b10,,,,,,
682,499230,Maoa,,,,,,
683,499231,Nedd9,,,,,,
684,499233,Nbea,,,,,,
685,499234,Trpc1,,,,,,
686,499235,Slc6a13,,,,,,
687,499236,Cenpq,,,,,,
688,499238,S100a14,,,,,,
689,499239,Tubb1,,,,,,
690,499242,Fhl5,,,,,,
691,499247,Nup160,,,,,,
692,499249,H2-Oa,,,,,,
693,499250,Mcm3ap,,,,,,
694,499253,Gm3027,,,,,,
695,499254,Tyrp1,,,,,,
696,499255,4930488B22Rik,,,,,,
697,499256,Nolc1,,,,,,
698,499257,Ppm1a,,,,,,
699,499258,Atl2,,,,,,
700,499259,Natd1,,,,,,
701,499261,Acot7,,,,,,
702,499263,Fign,,,,,,
703,499264,Cd163,,,,,,
704,499266,Nfyc,,,,,,
705,499268,Cpt2,,,,,,
706,499269,Clec4e,,,,,,
707,499272,Hnrnpa2b1,,,,,,
708,499275,Evc2,,,,,,
709,499276,Tenm3,,,,,,
710,499277,Lmf1,,,,,,
711,499278,2310001K24Rik,,,,,,
712,499283,Ercc5,,,,,,
713,499284,Gstt4,,,,,,
714,499286,Mllt1,,,,,,
715,499287,2700049A03Rik,,,,,,
716,499289,Krt84,,,,,,
717,499290,Gm12276,,,,,,
718,499293,F2rl3,,,,,,
719,499295,Gm7962,,,,,,
720,499297,Slc25a33,,,,,,
721,499301,Ccnf,,,,,,
722,499302,Gnb4,,,,,,
723,499303,Il13,,,,,,
724,499306,Ttl,,,,,,
725,499309,Nap1l5,,,,,,
726,499311,Gm15697,,,,,,
727,499315,Vmn1r2,,,,,,
728,499319,Ankrd12,,,,,,
729,499320,Hesx1,,,,,,
730,499321,Npepps,,,,,,
731,499322,Ubr3,,,,,,
732,499325,Psmc4,,,,,,
733,499326,Dnajc11,,,,,,
734,499332,4931406C07Rik,,,,,,
735,499336,Serp2,,,,,,
736,499338,5430435K18Rik,,,,,,
737,499339,Slc46a1,,,,,,
738,499340,4930533B01Rik,,,,,,
739,499341,Usp33,,,,,,
740,499342,Opn3,,,,,,
741,499344,Denr,,,,,,
742,499345,Lce3b,,,,,,
743,499347,1700019G24Rik,,,,,,
744,499348,Atp6v0d1,,,,,,
745,499349,Ccdc91,,,,,,
746,499350,Retreg3,,,,,,
747,499351,Pgm3,,,,,,
748,499355,Invs,,,,,,
749,499357,Hmgb1,,,,,,
750,499358,Tes,,,,,,
751,499362,4930453L07Rik,,,,,,
752,499364,Gm12663,,,,,,
753,499366,4933400B14Rik,,,,,,
754,499367,Ddi1,,,,,,
755,499369,Dock7,,,,,,
756,499371,Pfn2,,,,,,
757,499376,4930542C16Rik,,,,,,
758,499377,Dvl3,,,,,,
759,499388,Api5,,,,,,
760,499389,Slc36a1os,,,,,,
761,499391,Gng2,,,,,,
762,499392,A930009A15Rik,,,,,,
763,499393,Ccdc71,,,,,,
764,499395,Zfhx3,,,,,,
765,499396,Fmo2,,,,,,
766,499398,Pla2g2e,,,,,,
767,499400,D530033B14Rik,,,,,,
768,499401,Gm22282,,,,,,
769,499404,Pde4a,,,,,,
770,499405,1700031P21Rik,,,,,,
771,499408,4933422A05Rik,,,,,,
772,499410,Socs5,,,,,,
773,499411,Syt1,,,,,,
774,499413,Fam3c,,,,,,
775,499414,Abhd17b,,,,,,
776,499416,Pfdn1,,,,,,
777,499418,Slc25a26,,,,,,
778,499424,Tma16,,,,,,
779,499427,Egfl6,,,,,,
780,499428,Nampt,,,,,,
781,499429,Dnajb12,,,,,,
782,499431,Atp2c2,,,,,,
783,499433,Ranbp17,,,,,,
784,499434,Grhl2,,,,,,
785,499438,Neo1,,,,,,
786,499444,Lsm14a,,,,,,
787,499448,Fam78b,,,,,,
788,499449,Zfr,,,,,,
789,499450,Rpa2,,,,,,
790,499455,Pomgnt1,,,,,,
791,499456,Terf1,,,,,,
792,499457,Aco2,,,,,,
793,499461,Nkap,,,,,,
794,499464,4930521E06Rik,,,,,,
795,499467,Magel2,,,,,,
796,499469,Chd9,,,,,,
797,499476,Gm43412,,,,,,
798,499479,Osbpl5,,,,,,
799,499480,Psmg1,,,,,,
800,499481,Pgap2,,,,,,
801,499482,Sprr2b,,,,,,
802,499483,Neurog1,,,,,,
803,499488,Sytl1,,,,,,
